Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
658,658,"Backe, Peter (2008). Credit booms, monetary integration and the new neoclassical synthesis. JOURNAL OF BANKING & FINANCE, 32, 458-470",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,659,"Guicking, Daniela (2008). Single nucleotide sequence analysis: a cost- and time-effective protocol for the analysis of microsatellite- and indel-rich chloroplast DNA regions. MOLECULAR ECOLOGY RESOURCES, 8, 62-65",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,660,"Kaiser, Tobias S (2009). Isolation of 10 polymorphic microsatellite loci in the marine midge Clunio marinus (Chironomidae, Diptera) and their efficient characterization by heteroduplex analysis. MOLECULAR ECOLOGY RESOURCES, 9, 195-198",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,661,"Omidvar, Babak (2008). Using value engineering to optimize flood forecasting and flood warning systems: Golestan and Golabdare watersheds in Iran as case studies. NATURAL HAZARDS, 47, 281-296",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,662,"Roe, Richard H (2008). The value-based medicine comparative effectiveness and cost-effectiveness of penetrating keratoplasty for keratoconus. CORNEA, 27, 1001-1007",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,663,"Sattler, Thomas (2008). Economic political scope in the age of globalisation. An empirical study on the example of the currency crisis. POLITISCHE VIERTELJAHRESSCHRIFT, 49, 464-490",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,664,"Haisley, Emily (2008). Subjective relative income and lottery ticket purchases. JOURNAL OF BEHAVIORAL DECISION MAKING, 21, 283-295",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,665,"Stueber, Elisabeth (2008). Comparison of three commercial test kits for species identification in scalding sausages. ARCHIV FUR LEBENSMITTELHYGIENE, 59, 84-91",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,666,"Sun, Zhi-Wei (2009). Zero-sum problems for abelian p-groups and covers of the integers by residue classes. ISRAEL JOURNAL OF MATHEMATICS, 170, 235-252",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,667,"Alkan, Mustafa (2009). Janissaries and the Bectashi Order. TURK KULTURU VE HACI BEKTAS VELI-ARASTIRMA DERGISI, , 243-260",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,668,"Kornan, Martin (2009). Structure of the breeding bird assemblage of a primeval alder swamp in the Sur National Nature Reserve. BIOLOGIA, 64, 165-179",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,669,"McDonald, Paula (2009). `We just make the pictures ... ?' How work is portrayed in children's feature length films. CULTURE AND ORGANIZATION, 15, 21-38",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,670,"Cooke, Simon (2009). ENGLISH AS A FOREIGN LITERATURE Travelling concepts in English Studies in Europe. EUROPEAN JOURNAL OF ENGLISH STUDIES, 13, 25-41",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,671,"Lao, Hui Xue (2009). Exponential sums over primes formed with coefficients of primitive cusp forms. ACTA MATHEMATICA SINICA-ENGLISH SERIES, 25, 687-692",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,672,"Mansour, A (2009). Variations in tomato (Lycopersicon esculentum) cultivars grown under heat stress. JOURNAL FUR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT-JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY, 4, 118-127",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,673,"Kok, H (2009). STEEP: Impact of long-term conservation farming research and education in Pacific Northwest wheatlands. JOURNAL OF SOIL AND WATER CONSERVATION, 64, 253-264",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,674,"Vavken, P (2009). Introduction to Methods of Economic Modelling: A Primer for Orthopedic Surgeons and Traumatologists. ZEITSCHRIFT FUR ORTHOPADIE UND UNFALLCHIRURGIE, 147, 419-423",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,675,"Schmid, Wolfgang A (2009). Arithmetical characterization of class groups of the form a{''}currency sign/na{''}currency signaS center dot a{''}currency sign/na{''}currency sign via the system of sets of lengths. ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG, 79, 25-35",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,676,"Manohar, K (2009). Association of IL-18 promoter polymorphism with liver disease severity in HCV-infected patients. HEPATOLOGY INTERNATIONAL, 3, 371-377",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,677,"Sun, Qing Feng (2009). Hua's theorem with s almost equal prime variables. ACTA MATHEMATICA SINICA-ENGLISH SERIES, 25, 1145-1156",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,678,"French, Shaun (2009). A very geographical crisis: the making and breaking of the 2007-2008 financial crisis. CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY, 2, 287-302",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,679,"Aslund, Anders (2009). Ukraine's Financial Crisis, 2009. EURASIAN GEOGRAPHY AND ECONOMICS, 50, 371-386",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,680,"Alekseeva, O A (2009). On recognizability of some finite simple orthogonal groups by spectrum. PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS, 266, S10-S23",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,681,"Borrone, James W (2009). An EST-SSR-based linkage map for Persea americana Mill. (avocado). TREE GENETICS & GENOMES, 5, 553-560",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,682,"Kumar, J Dinesh (2009). Detection of virulence genes in Staphylococcus aureus isolated from paper currency. INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES, 13, E450-E455",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,683,"Hanke, Bernhard (2009). The stable free rank of symmetry of products of spheres. INVENTIONES MATHEMATICAE, 178, 265-298",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,684,"Berkhout, Ben (2009). HIV vaccine: it may take two to tango, but no party time yet. RETROVIROLOGY, 6, ",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,685,"Malherbe, Abraham J (2010). Godliness, Self-Sufficiency, Greed, and the Enjoyment of Wealth 1 Timothy 6:3-19 Part I. NOVUM TESTAMENTUM, 52, 376-405",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,686,"Sattler, Thomas (2010). Democratic Accountability in Open Economies. QUARTERLY JOURNAL OF POLITICAL SCIENCE, 5, 71-97",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,687,"Lee, Jong-Wha (2009). Global Financial Turmoil: Impact and Challenges for Asia's Financial Systems. ASIAN ECONOMIC PAPERS, 8, 9-40",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,688,"Rowell, Eric (2009). On Classification of Modular Tensor Categories. COMMUNICATIONS IN MATHEMATICAL PHYSICS, 292, 343-389",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,689,"Dwyer, Gerald P (2009). The financial crisis of 2008 in fixed-income markets. JOURNAL OF INTERNATIONAL MONEY AND FINANCE, 28, 1293-1316",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,690,"Kousaie, Shanna (2010). Age-related Differences in Interlingual Priming: A Behavioural and Electrophysiological Investigation. AGING NEUROPSYCHOLOGY AND COGNITION, 18, 22-55",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,691,"Houser, Dan E (2010). WORKING HARD AND STAYING SAFE: DRILLING RIG HANDS IN ALBERTA. ECONOMIC ACTION IN THEORY AND PRACTICE: ANTHROPOLOGICAL INVESTIGATIONS, 30, 331-349",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,692,"Chang, Hsu-Ling (2010). The Lending-Deposit Rate Relationship in Eastern European Countries: Evidence from the Rank Test for Non-linear Cointegration. FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE, 60, 534-544",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,693,"Hall, Maximilian J B (2010). The Sub-Prime Crisis, the Credit Crunch, and Bank ``Failure{''}: An Assessment of the UK Authorities' Response. FINANCIAL INSTITUTIONS AND MARKETS: THE FINANCIAL CRISIS: AN EARLY RETROSPECTIVE, , 93-125",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,694,"Jeong, Kap-Young (2010). The Global Financial Crisis: New Implications and Perspectives for Emerging Economies. GLOBAL ECONOMIC REVIEW, 39, 1-13",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,695,"Fioretti, Daniela (2010). DNA Vaccines: Developing New Strategies against Cancer. JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY, , ",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,696,"Payne, Jonathan (2010). Scoring opportunity or hospital pass? The changing role of local authorities in 14-19 education and training in England. JOURNAL OF EDUCATION POLICY, 25, 519-545",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,697,"Horie, Kuniaki (2010). The narrow class groups of the a{''}currency sign(17)- and a{''}currency sign(19)-extensions over the rational field. ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG, 80, 47-57",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,698,"Heckelman, Jac C (2010). Personalty interests at the Constitutional Convention: new tests of the Beard thesis. CLIOMETRICA, 4, 207-228",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,699,"Candelon, Bertrand (2010). Banking and Debt Crises in Europe: The Dangerous Liaisons?. ECONOMIST-NETHERLANDS, 158, 81-99",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,700,"Mitchell, Heather (2010). Changes in Malaysia: Capital controls, prime ministers and political connections. PACIFIC-BASIN FINANCE JOURNAL, 18, 460-476",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,701,"Bhat, K G (2010). Remark on factorials that are products of factorials. MATHEMATICAL NOTES, 88, 317-320",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,702,"Friedlander, J B (2010). Character sums over shifted primes. MATHEMATICAL NOTES, 88, 585-598",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,703,"Shkredov, I D (2010). On monochromatic solutions of some nonlinear equations in a{''}currency sign/pa{''}currency sign. MATHEMATICAL NOTES, 88, 603-611",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,704,"Konkol, Nick R (2010). Dominance of Epiphytic Filamentous Thiothrix spp. on an Aquatic Macrophyte in a Hydrothermal Vent Flume in Sedge Bay, Yellowstone Lake, Wyoming. MICROBIAL ECOLOGY, 60, 528-538",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,705,"Barman, Rupam (2010). A note on Iwasawa A mu-invariants of elliptic curves. BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY, 41, 399-407",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,706,"Chouari, Rakia (2010). Molecular Analyses of the Microbial Community Composition of an Anoxic Basin of a Municipal Wastewater Treatment Plant Reveal a Novel Lineage of Proteobacteria. MICROBIAL ECOLOGY, 60, 272-281",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,707,"Liu, Xiang (2010). High frequencies of HLA-B27 in Chinese patients with suspected of ankylosing spondylitis. RHEUMATOLOGY INTERNATIONAL, 30, 1305-1309",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,708,"Olofsson, Rikard (2010). Large Newforms of the Quantized Cat Map Revisited. ANNALES HENRI POINCARE, 11, 1285-1302",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,709,"Fouvry, Etienne (2010). Friabilit, des valeurs d'un polynme. ARCHIV DER MATHEMATIK, 95, 411-421",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,710,"Clark, Margaret S (2011). Heightened interpersonal security diminishes the monetary value of possessions. JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY, 47, 359-364",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,711,"Smit, J P (2011). WHAT IS MONEY? AN ALTERNATIVE TO SEARLE'S INSTITUTIONAL FACTS. ECONOMICS AND PHILOSOPHY, 27, 1-22",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,712,"Jiang, Wei (2011). Investigation of Supragingival Plaque Microbiota in Different Caries Status of Chinese Preschool Children by Denaturing Gradient Gel Electrophoresis. MICROBIAL ECOLOGY, 61, 342-352",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,713,"Maloney, John (2011). Straightening the Phillips curve, 1968-1976. EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT, 18, 407-440",,,Web of Science,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
